Date : 2021-03-20 23:06:28
Directory : c:\Users\alice\Desktop\毕业设计\poem-game-mini-program\poem-game-mini-program-client\mini-program-client
Total : 118 files,  6089 codes, 184 comments, 851 blanks, all 7124 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript React |         26 |      2,441 |         92 |        366 |      2,899 |
| TypeScript       |         54 |      1,757 |         47 |        162 |      1,966 |
| Less             |         27 |      1,571 |         26 |        309 |      1,906 |
| JavaScript       |          4 |        135 |         13 |          7 |        155 |
| JSON             |          4 |        127 |          0 |          3 |        130 |
| SCSS             |          2 |         39 |          6 |          3 |         48 |
| HTML             |          1 |         19 |          0 |          1 |         20 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                              |        118 |      6,089 |        184 |        851 |      7,124 |
| config                                                                                                                                         |          3 |        127 |         11 |          6 |        144 |
| src                                                                                                                                            |        109 |      5,811 |        170 |        839 |      6,820 |
| src\assets                                                                                                                                     |          4 |        667 |          3 |         11 |        681 |
| src\assets\question                                                                                                                            |          3 |        645 |          0 |          6 |        651 |
| src\baseUI                                                                                                                                     |          8 |        273 |          0 |         54 |        327 |
| src\baseUI\loading                                                                                                                             |          2 |         41 |          0 |          7 |         48 |
| src\baseUI\progress-bar                                                                                                                        |          2 |         23 |          0 |          8 |         31 |
| src\baseUI\search-box                                                                                                                          |          2 |        172 |          0 |         29 |        201 |
| src\baseUI\vertical-item                                                                                                                       |          2 |         37 |          0 |         10 |         47 |
| src\components                                                                                                                                 |          8 |        506 |          5 |         95 |        606 |
| src\components\begin-game                                                                                                                      |          2 |        102 |          0 |         23 |        125 |
| src\components\list                                                                                                                            |          2 |        122 |          1 |         26 |        149 |
| src\components\login                                                                                                                           |          2 |        124 |          2 |         21 |        147 |
| src\components\personal                                                                                                                        |          2 |        158 |          2 |         25 |        185 |
| src\constants                                                                                                                                  |          1 |         58 |          0 |         12 |         70 |
| src\pages                                                                                                                                      |         72 |      3,493 |        107 |        567 |      4,167 |
| src\pages\Audition                                                                                                                             |          3 |        202 |          2 |         39 |        243 |
| src\pages\ChoiceGame                                                                                                                           |          3 |        232 |          1 |         36 |        269 |
| src\pages\CrossWordGame                                                                                                                        |          3 |        235 |          1 |         35 |        271 |
| src\pages\GameCenter                                                                                                                           |          3 |        103 |         14 |         19 |        136 |
| src\pages\Home                                                                                                                                 |          3 |        231 |          7 |         37 |        275 |
| src\pages\IdentifyGame                                                                                                                         |          3 |        329 |          5 |         44 |        378 |
| src\pages\Player                                                                                                                               |          7 |        303 |          2 |         44 |        349 |
| src\pages\Player\store                                                                                                                         |          4 |         26 |          0 |          8 |         34 |
| src\pages\Poem                                                                                                                                 |          7 |        467 |         12 |         68 |        547 |
| src\pages\PoemList                                                                                                                             |          3 |        155 |          0 |         30 |        185 |
| src\pages\Poem\store                                                                                                                           |          4 |        132 |          0 |         17 |        149 |
| src\pages\Poet                                                                                                                                 |          3 |        155 |          2 |         31 |        188 |
